399,1986 Mexican Grand Prix - qualifying,1986-10-11
388,1986 Australian Grand Prix - qualifying,1986-10-25
407,1987 Brazilian Grand Prix - qualifying,1987-04-11
418,1987 San Marino Grand Prix - qualifying,1987-05-02
406,1987 Belgian Grand Prix - qualifying,1987-05-16
416,1987 Monaco Grand Prix - qualifying,1987-05-30
405,1987 Austrian Grand Prix - qualifying,1987-06-17
409,1987 Detroit Grand Prix - qualifying,1987-06-20
410,1987 French Grand Prix - qualifying,1987-07-04
408,1987 British Grand Prix - qualifying,1987-07-11
411,1987 German Grand Prix - qualifying,1987-07-25
412,1987 Hungarian Grand Prix - qualifying,1987-08-08
413,1987 Italian Grand Prix - qualifying,1987-09-05
417,1987 Portuguese Grand Prix - qualifying,1987-09-19
419,1987 Spanish Grand Prix - qualifying,1987-09-26
415,1987 Mexican Grand Prix - qualifying,1987-10-17
414,1987 Japanese Grand Prix - qualifying,1987-10-31
404,1987 Australian Grand Prix - qualifying,1987-11-14
422,1988 Brazilian Grand Prix - qualifying,1988-04-02
434,1988 San Marino Grand Prix - qualifying,1988-04-30
432,1988 Monaco Grand Prix - qualifying,1988-05-14
431,1988 Mexican Grand Prix - qualifying,1988-05-28
424,1988 Canadian Grand Prix - qualifying,1988-06-11
425,1988 Detroit Grand Prix - qualifying,1988-06-18
426,1988 French Grand Prix - qualifying,1988-07-02
423,1988 British Grand Prix - qualifying,1988-07-09
427,1988 German Grand Prix - qualifying,1988-07-23
428,1988 Hungarian Grand Prix - qualifying,1988-08-06
421,1988 Belgian Grand Prix - qualifying,1988-08-27
429,1988 Italian Grand Prix - qualifying,1988-09-10
433,1988 Portuguese Grand Prix - qualifying,1988-09-24
435,1988 Spanish Grand Prix - qualifying,1988-10-01
430,1988 Japanese Grand Prix - qualifying,1988-10-29
420,1988 Australian Grand Prix - qualifying,1988-11-12
440,1989 Brazilian Grand Prix - prequalifying,1989-03-24
441,1989 Brazilian Grand Prix - qualifying,1989-03-25
462,1989 San Marino Grand Prix - prequalifying,1989-04-21
463,1989 San Marino Grand Prix - qualifying,1989-04-22
458,1989 Monaco Grand Prix - prequalifying,1989-05-05
459,1989 Monaco Grand Prix - qualifying,1989-05-06
456,1989 Mexican Grand Prix - prequalifying,1989-05-26
457,1989 Mexican Grand Prix - qualifying,1989-05-27
